r,Product SKU,Brand,Parent Category,Sub Category 1,Sub Category 2,Brand Category,Product Name,Weight,Dimensions,Optimised Description?,PDP?,Promo Badges,Number of Offer Categories,Bulk Pricing Rules?,Cross Sells Updated?,Number of Images,Filters Correct?,Batteries Included,Part of a Recipe?,Cost Price ex VAT,Selling Price inc VAT,Selling Price ex VAT,Sale Price inc VAT,Calculated Profit % Per Unit,Stock Value,Calculated Revenue ,Availabile Stock,Supplier Stock,Promotion Availability,On Order?,Total Sales this Year,Total Sales Last Year,Best Seller Status
77,MAKPHR4013C/1,Makita ,Power Tools,SDS Max Hammer Drills,,Makita SDS Max Hammer Drills,Makita HR4013C AVT SDS Max Rotary Hammer Drill 1000W 110V,Y,Y,,N,N,0,N,29.05.25,2,,N/A,N,657,906.66,755.55,0,13.04%,0,3022.2,0,0,0,0,0,4,E
78,MAKPBL1840B,Makita ,Accessories,Batteries & Chargers,Batteries,Makita Batteries & Chargers,Makita BL1840 18V 4.0Ah LXT Lithium-Ion Battery,Y,Y,,N,N,2,N,#N/A,2,,1,Y,44.53,64.12,53.43333333,0,16.66%,534.32,24312.16667,7,0,7,30,21,455,B
312,MAKPDC18RD,Makita ,Accessories,Batteries & Chargers,Chargers,Makita Batteries & Chargers,Makita DC18RD LXT 14.4-18V Twin Fast Charger,Y,Y,,N,N,3,N,#N/A,,,N/A,Y,63.54,99.99,83.325,0,23.74%,30084.31,121654.5,363,0,363,20,39,1460,A+
318,MAKPDJV180Z,Makita ,Power Tools,Jigsaws,,Makita Jigsaws,Makita DJV180Z LXT 18V Cordless Jigsaw (Body Only),Y,Y,,N,N,3,N,26.07.24,,,0,Y,85.55,119.99,99.99166667,0,14.44%,10240.96,139788.35,114,0,114,0,24,1398,A+
325,MAKPHR4013C/2,Makita ,Power Tools,SDS Max Hammer Drills,,Makita SDS Max Hammer Drills,Makita HR4013C AVT SDS Max Rotary Hammer Drill 1100W 240V,Y,Y,,N,N,0,N,29.05.25,,,N/A,N,657,906.66,755.55,0,13.04%,0,755.55,0,0,0,0,0,1,E
328,MAKPLS1018L/1,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1018LN/1 260mm Slide Compound Mitre Saw with Laser Guide 1430W 110V,Y,Y,,N,N,0,N,#N/A,,,N/A,N,401.57,554.17,461.8083333,0,13.04%,0,0,0,0,0,0,0,0,F
348,mak243,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita 29 Piece P-67701 Drill & Bit Set,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,0,5.25,4.375,0,100.00%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
435,MAKPDSS611Z,Makita ,Power Tools,Circular Saws,,Makita Circular Saws,Makita DSS611Z 18V LXT Cordless 165mm Circular Saw (Body Only),Y,Y,,N,N,4,N,09.10.24,,,0,Y,75.54,109.99,91.65833333,0,17.59%,7402.46,96974.51667,90,0,90,0,33,1058,A+
437,MAKPHP1641/2,Makita ,Power Tools,Percussion Drills,,Makita Rotary Drills,Makita HP1641 13mm Percussion Drill 240v,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,57,90.97,75.80833333,0,24.81%,0,0,0,0,0,0,0,0,F
439,MAKPHP2050/2,Makita ,Power Tools,Percussion Drills,,Makita Rotary Drills,Makita HP2050 720w 13MM Percussion Drill 2 Speed 240v,Y,Y,,N,N,0,N,30.05.25,1,,N/A,N,128.61,185.2,154.3333333,0,16.67%,0,0,0,0,0,0,0,0,F
442,MAKPHP2070/2,Makita ,Power Tools,Percussion Drills,,Makita Rotary Drills,Makita HP2070 1010w 13MM Percussion Drill 2 Speed 240v,Y,Y,,N,N,0,N,30.05.25,1,,N/A,N,173.67,250.09,208.4083333,0,16.67%,0,208.4083333,0,0,0,0,0,1,E
443,MAKPHP2070/1,Makita ,Power Tools,Percussion Drills,,Makita Rotary Drills,Makita HP2070 1010w 13MM Percussion Drill 2 Speed 110v,Y,Y,,N,N,0,N,30.05.25,1,,N/A,N,173.67,250.09,208.4083333,0,16.67%,0,0,0,0,0,0,0,0,F
444,MAKP4329/2,Makita ,Power Tools,Jigsaws,,Makita Jigsaws,Makita 4329/2 Orbital Action Jigsaw 450W 240V,Y,Y,,N,N,0,N,26.07.24,3,,N/A,N,62.4,89.86,74.88333333,0,16.67%,0,299.5333333,0,0,0,0,0,4,E
445,MAKP4329/1,Makita ,Power Tools,Jigsaws,,Makita Jigsaws,Makita 4329 /1 Orbital Action Jigsaw 450W 110V,Y,Y,,N,N,0,N,26.07.24,3,,N/A,N,62.26,89.65,74.70833333,0,16.66%,0,224.125,0,0,0,0,0,3,E
448,MAKPBL1830B,Makita ,Accessories,Batteries & Chargers,Batteries,Makita Batteries & Chargers,Makita BL1830 18V 3.0Ah LXT Lithium-Ion Battery,Y,Y,,N,N,3,N,24.12.25,3,,1,Y,31.97,39.99,33.325,0,4.07%,21196.33,183687.4,657,0,657,350,128,5512,A+
547,MAKPHR2630/2,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita HR2630 26mm 3-Mode SDS-Plus Rotary Hammer 800W 240V,Y,Y,,N,N,1,N,#N/A,3,,N/A,N,101.38,145.98,121.65,0,16.66%,0,2433,0,0,0,0,0,20,D
548,MAKPHR2630/1,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita HR2630 26mm 3-Mode SDS+ Rotary Hammer 800W 110V,Y,Y,,N,N,1,N,#N/A,3,,N/A,N,101.38,145.98,121.65,0,16.66%,0,6447.45,0,0,0,0,1,53,D
557,MAKPDLX6012PM,Makita ,Power Tools,Cordless Kits,,Makita Cordless Kits,Makita DLX6012PM 18V LXT 6 Piece Cordless Tool Kit with 3x 4.0Ah Batteries,Y,Y,,N,N,2,N,#N/A,,,3,N,684.63,944.79,787.325,0,13.04%,0,787.325,0,0,0,0,0,1,E
572,MAKACD-47117,Makita ,Accessories,Power Tool Accessories,Holesaws,Makita Drill Bits,Makita D-47117 Plumbers Holesaw Kit (8 Pieces),Y,Y,,N,N,0,N,#N/A,,,N/A,N,27.27,39.91,33.25833333,0,18.01%,0,1563.141667,0,0,0,5,0,47,D
575,MAKACD-42357,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita D-42357 3 Piece SDS Chisel Set,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,15.17,23.66,19.71666667,0,23.06%,0,0,0,0,0,0,0,0,F
576,MAKACD-21200,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita D-21200 SDS Chisel Set 17pcs,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,20.04,34.99,29.15833333,0,31.27%,100.21,3557.316667,5,0,5,0,0,122,C
577,MAKACD-40571,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita D-40571 SDS Max Drill Bit & Chisel Set (7 piece),Y,Y,,N,N,0,N,#N/A,1,,N/A,N,72.11,112.49,93.74166667,0,23.08%,0,1124.9,0,0,0,0,0,12,D
580,MAKACP-23818,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita P-23818 Mixed Drill Bit Set (18 Pieces),Y,Y,,N,N,0,N,#N/A,2,,N/A,N,10.32,14.86,12.38333333,0,16.66%,0,359.1166667,0,0,0,0,0,29,D
582,MAKACP-80896,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-80896 Smart Phone Holder,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,0,12.6,10.5,0,100.00%,0,0,0,0,0,0,0,0,F
583,MAKACP-71794,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71794 Drill Holster,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,0,20.63,17.19166667,0,100.00%,0,0,0,0,0,0,0,0,F
584,MAKACP-71722,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71722 Drill Holster And Pouch,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,26.88,22.4,0,100.00%,0,0,0,0,0,0,0,0,F
585,MAKACP-71788,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71788 Roofers Pouch,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,0,43.54,36.28333333,0,100.00%,0,0,0,0,0,0,0,0,F
586,MAKACP-71744,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71744 General Purpose Pouch,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,0,39.11,32.59166667,0,100.00%,0,0,0,0,0,0,0,0,F
588,MAKS45,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71875 Side Gate Hammer Holder,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,11.25,9.375,0,100.00%,0,0,0,0,0,0,0,0,F
589,MAKACP-71819,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita P-71819 Super Heavyweight Belt,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,23.52,19.6,0,100.00%,0,0,0,0,0,0,0,0,F
590,MAKACP-72023,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita P-72023 Lunch Bag,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,0,22.14,18.45,0,100.00%,0,0,0,0,0,0,0,0,F
